# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,FS,186,0:21.243.994,928.009.583 ms,7 B,,49,01,IN txn   [29 POLL],80 80 80 80 0F 04 00
1,FS,187,0:21.243.994,896.001.166 ms,,,49,01,   [29 IN-NAK],
1,FS,188,0:22.171.991,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,189,0:22.171.995,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,190,0:22.172.003,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,191,0:22.683.050,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,192,0:22.204.000,480.006.250 ms,7 B,,49,01,IN txn   [15 POLL],80 80 80 80 0F 00 00
1,FS,193,0:22.204.000,447.997.833 ms,,,49,01,   [15 IN-NAK],
1,FS,194,0:22.683.994,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,195,0:22.683.998,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,196,0:22.684.006,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,197,0:23.237.052,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,198,0:22.715.995,544.015.166 ms,7 B,,49,01,IN txn   [17 POLL],80 80 80 80 0F 04 00
1,FS,199,0:22.715.995,512.006.750 ms,,,49,01,   [17 IN-NAK],
1,FS,200,0:23.259.998,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,201,0:23.260.001,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,202,0:23.260.009,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,203,0:24.094.056,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,204,0:23.292.006,832.008.583 ms,7 B,,49,01,IN txn   [26 POLL],80 80 80 80 0F 00 00
1,FS,205,0:23.292.006,800.000.166 ms,,,49,01,   [26 IN-NAK],
1,FS,206,0:24.124.003,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,207,0:24.124.006,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,208,0:24.124.014,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,209,0:24.801.060,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,210,0:24.156.011,672.007.416 ms,7 B,,49,01,IN txn   [21 POLL],80 80 80 80 0F 04 00
1,FS,211,0:24.156.011,639.999.083 ms,,,49,01,   [21 IN-NAK],
