# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,HS,158,0:25.846.836,899.746.733 ms,,,48,02,   [7199 IN-NAK],
1,HS,159,0:26.746.707,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,160,0:26.746.707,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,161,0:26.746.708,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,162,0:27.317.584,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,163,0:26.746.842,570.870.016 ms,12 B,,48,02,IN txn   [4567 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,164,0:26.746.842,570.744.300 ms,,,48,02,   [4567 IN-NAK],
1,HS,165,0:27.317.711,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,166,0:27.317.712,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,167,0:27.317.712,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,168,0:28.266.590,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,169,0:27.317.848,948.871.983 ms,12 B,,48,02,IN txn   [7591 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,170,0:27.317.848,948.746.266 ms,,,48,02,   [7591 IN-NAK],
1,HS,171,0:28.266.718,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,172,0:28.266.719,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,173,0:28.266.720,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,174,0:28.979.594,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,175,0:28.266.854,712.871.000 ms,12 B,,48,02,IN txn   [5703 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,176,0:28.266.854,712.745.283 ms,,,48,02,   [5703 IN-NAK],
1,HS,177,0:28.979.724,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,178,0:28.979.724,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,179,0:28.979.725,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,180,0:29.397.596,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,181,0:28.979.860,417.868.766 ms,12 B,,48,02,IN txn   [3343 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,182,0:28.979.860,417.743.066 ms,,,48,02,   [3343 IN-NAK],
1,HS,183,0:29.397.727,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,184,0:29.397.728,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,185,0:29.397.728,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,186,0:30.009.600,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,187,0:29.397.853,611.880.333 ms,12 B,,48,02,IN txn   [4895 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,188,0:29.397.853,611.754.616 ms,,,48,02,   [4895 IN-NAK],
1,HS,189,0:30.009.732,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,190,0:30.009.732,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,191,0:30.009.733,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,192,0:30.731.605,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,193,0:30.009.867,721.871.483 ms,12 B,,48,02,IN txn   [5775 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
