# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,FS,186,0:09.527.437,175.416 us,96 B,,11,00,Get Configuration Descriptor,Index=0 Length=96
1,FS,187,0:09.527.437,12.583 us,8 B,,11,00,   SETUP txn,80 06 00 02 00 00 60 00
2,FS,188,0:09.527.437,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,189,0:09.527.440,7.416 us,11 B,,11,00,      DATA0 packet,C3 80 06 00 02 00 00 60 00 80 54
2,FS,190,0:09.527.449,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,191,0:09.527.462,76.500 us,64 B,,11,00,   IN txn   [1 POLL],09 02 60 00 03 01 00 A0 FA 09 04 00 00 02 FF 47 D0 00 07 05 02 03 40 00…
2,FS,192,0:09.527.462,4.000 us,,,11,00,      [1 IN-NAK],
2,FS,193,0:09.527.488,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,194,0:09.527.492,45.083 us,67 B,,11,00,      DATA1 packet,4B 09 02 60 00 03 01 00 A0 FA 09 04 00 00 02 FF 47 D0 00 07 05 02 03 40…
2,FS,195,0:09.527.538,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,196,0:09.527.540,54.333 us,32 B,,11,00,   IN txn   [1 POLL],09 04 02 00 00 FF 47 D0 00 09 04 02 01 02 FF 47 D0 00 07 05 04 02 40 00…
2,FS,197,0:09.527.540,3.916 us,,,11,00,      [1 IN-NAK],
2,FS,198,0:09.527.565,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,199,0:09.527.569,23.583 us,35 B,,11,00,      DATA0 packet,C3 09 04 02 00 00 FF 47 D0 00 09 04 02 01 02 FF 47 D0 00 07 05 04 02 40…
2,FS,200,0:09.527.593,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,201,0:09.527.605,7.250 us,0 B,,11,00,   OUT txn,
2,FS,202,0:09.527.605,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,203,0:09.527.609,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,204,0:09.527.612,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,205,0:09.527.729,61.666 us,2 B,,11,00,Get Device Status, 
1,FS,206,0:09.527.729,12.583 us,8 B,,11,00,   SETUP txn,80 00 00 00 00 00 02 00
2,FS,207,0:09.527.729,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,208,0:09.527.732,7.416 us,11 B,,11,00,      DATA0 packet,C3 80 00 00 00 00 00 02 00 B6 F4
2,FS,209,0:09.527.741,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,210,0:09.527.763,8.750 us,2 B,,11,00,   IN txn,00 00
2,FS,211,0:09.527.763,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,212,0:09.527.766,3.516 us,5 B,,11,00,      DATA1 packet,4B 00 00 FE 4F
2,FS,213,0:09.527.771,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,214,0:09.527.783,7.250 us,0 B,,11,00,   OUT txn,
2,FS,215,0:09.527.783,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,216,0:09.527.786,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,217,0:09.527.790,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,218,0:09.527.901,319.750 us,0 B,,11,00,Set Configuration,Configuration=1
1,FS,219,0:09.527.901,12.583 us,8 B,,11,00,   SETUP txn,00 09 01 00 00 00 00 00
2,FS,220,0:09.527.901,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,221,0:09.527.904,7.416 us,11 B,,11,00,      DATA0 packet,C3 00 09 01 00 00 00 00 00 27 25
2,FS,222,0:09.527.913,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,223,0:09.527.926,294.750 us,0 B,,11,00,   IN txn   [11 POLL],
2,FS,224,0:09.527.926,265.416 us,,,11,00,      [11 IN-NAK],
2,FS,225,0:09.528.213,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,226,0:09.528.217,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,227,0:09.528.220,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,228,0:09.528.255,58.416 us,0 B,,11,00,Set Interface,Interface=1 Alt. Setting=0
1,FS,229,0:09.528.255,12.583 us,8 B,,11,00,   SETUP txn,01 0B 00 00 01 00 00 00
2,FS,230,0:09.528.255,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,231,0:09.528.258,7.416 us,11 B,,11,00,      DATA0 packet,C3 01 0B 00 00 01 00 00 00 C5 04
2,FS,232,0:09.528.267,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,233,0:09.528.280,33.583 us,0 B,,11,00,   IN txn   [1 POLL],
2,FS,234,0:09.528.280,4.000 us,,,11,00,      [1 IN-NAK],
2,FS,235,0:09.528.306,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,236,0:09.528.310,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,237,0:09.528.313,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,238,0:09.528.348,58.666 us,0 B,,11,00,Set Interface,Interface=2 Alt. Setting=0
1,FS,239,0:09.528.348,12.583 us,8 B,,11,00,   SETUP txn,01 0B 00 00 02 00 00 00
2,FS,240,0:09.528.348,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,241,0:09.528.351,7.416 us,11 B,,11,00,      DATA0 packet,C3 01 0B 00 00 02 00 00 00 C5 40
2,FS,242,0:09.528.360,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,243,0:09.528.373,33.583 us,0 B,,11,00,   IN txn   [1 POLL],
2,FS,244,0:09.528.373,4.000 us,,,11,00,      [1 IN-NAK],
2,FS,245,0:09.528.399,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,246,0:09.528.403,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,247,0:09.528.406,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,248,0:09.529.231,54.747.750 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,249,0:09.583.978,,,,,,<Full-speed>,
0,FS,250,0:09.617.334,89.750 us,18 B,,00,00,Get Device Descriptor,Index=0 Length=64
1,FS,251,0:09.617.334,12.583 us,8 B,,00,00,   SETUP txn,80 06 00 01 00 00 40 00
2,FS,252,0:09.617.334,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10
2,FS,253,0:09.617.337,7.416 us,11 B,,00,00,      DATA0 packet,C3 80 06 00 01 00 00 40 00 DD 94
2,FS,254,0:09.617.346,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,255,0:09.617.359,45.416 us,18 B,,00,00,   IN txn   [1 POLL],12 01 00 02 FF 47 D0 40 5E 04 EA 02 08 04 01 02 03 01
2,FS,256,0:09.617.359,4.000 us,,,00,00,      [1 IN-NAK],
2,FS,257,0:09.617.385,2.083 us,3 B,,00,00,      IN packet,69 00 10
2,FS,258,0:09.617.388,14.183 us,21 B,,00,00,      DATA1 packet,4B 12 01 00 02 FF 47 D0 40 5E 04 EA 02 08 04 01 02 03 01 09 F7
2,FS,259,0:09.617.403,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,260,0:09.617.416,7.250 us,0 B,,00,00,   OUT txn,
2,FS,261,0:09.617.416,2.083 us,3 B,,00,00,      OUT packet,E1 00 10
2,FS,262,0:09.617.420,2.083 us,3 B,,00,00,      DATA1 packet,4B 00 00
2,FS,263,0:09.617.423,750 ns,1 B,,00,00,      ACK packet,D2
